Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
1. Login - submit,,,,2022-06-16 09:52:31,2022-06-16 09:55:13,2m - 42.177s,PASSED
,,,,,,,
Test Cases/DMS_Renewal dan Upgrade Asuransi Aswata/Matriks 9.12/12.1. Login - konsumen,,,,2022-06-16 09:52:31,2022-06-16 09:53:22,50.555s,PASSED
"baseDir = System.getProperty(""user.dir"")",,Get directory project,,2022-06-16 09:52:32,2022-06-16 09:52:32,0.005s,PASSED
"startExistingApplication(""com.vq.mbrochuregp.client.android"", STOP_ON_FAILURE)",,,,2022-06-16 09:52:32,2022-06-16 09:52:50,17.532s,PASSED
delay(8),,,,2022-06-16 09:52:50,2022-06-16 09:52:58,8.100s,PASSED
"element = findElement(findTestObject(""DMS_FINA_Mobile/FINA_BottomNav_Account_Button""), 10)",,,,2022-06-16 09:52:58,2022-06-16 09:53:01,2.444s,PASSED
element.click(),,,,2022-06-16 09:53:01,2022-06-16 09:53:01,0.217s,PASSED
"setText(findTestObject(""DMS_FINA_Mobile/FINA_Login/Login_Text""), findTestData(""DMS_Asr_Cakpro"").getObjectValue(""Login"", 53), 0)",,,,2022-06-16 09:53:01,2022-06-16 09:53:04,2.947s,PASSED
"setText(findTestObject(""DMS_FINA_Mobile/FINA_Login/Login_Password_Text""), findTestData(""DMS_Asr_Cakpro"").getObjectValue(""Pass"", 53), 0)",,,,2022-06-16 09:53:04,2022-06-16 09:53:06,1.817s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathasuransicakpro + ""skenario-12.1-input username dan password"" + "".png"", STOP_ON_FAILURE)",,,,2022-06-16 09:53:06,2022-06-16 09:53:09,3.125s,PASSED
"tap(findTestObject(""DMS_FINA_Mobile/FINA_Login/FINA_Login_Button""), 0)",,set user login,,2022-06-16 09:53:09,2022-06-16 09:53:09,0.759s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2022-06-16 09:53:09,2022-06-16 09:53:11,2.025s,PASSED
"elementAccount = findElement(findTestObject(""DMS_FINA_Mobile/FINA_BottomNav_Account_Button""), 10)",,,,2022-06-16 09:53:11,2022-06-16 09:53:17,5.228s,PASSED
elementAccount.click(),,,,2022-06-16 09:53:17,2022-06-16 09:53:17,0.074s,PASSED
delay(2),,,,2022-06-16 09:53:17,2022-06-16 09:53:19,2.039s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathasuransicakpro + ""skenario-12.2-berhasil login"" + "".png"", STOP_ON_FAILURE)",,,,2022-06-16 09:53:19,2022-06-16 09:53:21,2.011s,PASSED
