Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
3. Login - cek billing,,,,2022-06-16 16:02:48,2022-06-16 16:05:27,2m - 39.720s,PASSED
,,,,,,,
Test Cases/DMS_Renewal dan Upgrade Asuransi Aswata/Matriks 9.12/12.1. Login - konsumen,,,,2022-06-16 16:02:48,2022-06-16 16:03:38,50.203s,PASSED
"baseDir = System.getProperty(""user.dir"")",,Get directory project,,2022-06-16 16:02:49,2022-06-16 16:02:49,0.004s,PASSED
"startExistingApplication(""com.vq.mbrochuregp.client.android"", STOP_ON_FAILURE)",,,,2022-06-16 16:02:49,2022-06-16 16:03:09,19.744s,PASSED
delay(8),,,,2022-06-16 16:03:09,2022-06-16 16:03:17,8.067s,PASSED
"element = findElement(findTestObject(""DMS_FINA_Mobile/FINA_BottomNav_Account_Button""), 10)",,,,2022-06-16 16:03:17,2022-06-16 16:03:18,0.927s,PASSED
element.click(),,,,2022-06-16 16:03:18,2022-06-16 16:03:18,0.138s,PASSED
"setText(findTestObject(""DMS_FINA_Mobile/FINA_Login/Login_Text""), findTestData(""DMS_Asr_Cakpro"").getObjectValue(""Login"", 53), 0)",,,,2022-06-16 16:03:18,2022-06-16 16:03:21,2.526s,PASSED
"setText(findTestObject(""DMS_FINA_Mobile/FINA_Login/Login_Password_Text""), findTestData(""DMS_Asr_Cakpro"").getObjectValue(""Pass"", 53), 0)",,,,2022-06-16 16:03:21,2022-06-16 16:03:23,1.918s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathasuransicakpro + ""skenario-12.1-input username dan password"" + "".png"", STOP_ON_FAILURE)",,,,2022-06-16 16:03:23,2022-06-16 16:03:25,2.931s,PASSED
"tap(findTestObject(""DMS_FINA_Mobile/FINA_Login/FINA_Login_Button""), 0)",,set user login,,2022-06-16 16:03:25,2022-06-16 16:03:26,0.824s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2022-06-16 16:03:26,2022-06-16 16:03:28,2.017s,PASSED
"elementAccount = findElement(findTestObject(""DMS_FINA_Mobile/FINA_BottomNav_Account_Button""), 10)",,,,2022-06-16 16:03:28,2022-06-16 16:03:31,2.786s,PASSED
elementAccount.click(),,,,2022-06-16 16:03:31,2022-06-16 16:03:31,0.123s,PASSED
delay(2),,,,2022-06-16 16:03:31,2022-06-16 16:03:33,2.042s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathasuransicakpro + ""skenario-12.2-berhasil login"" + "".png"", STOP_ON_FAILURE)",,,,2022-06-16 16:03:33,2022-06-16 16:03:35,2.008s,PASSED
"elementHome = findElement(findTestObject(""DMS_FINA_Mobile/FINA_BottomNav_Home_Button""), 10)",,,,2022-06-16 16:03:35,2022-06-16 16:03:38,2.948s,PASSED
elementHome.click(),,,,2022-06-16 16:03:38,2022-06-16 16:03:38,0.100s,PASSED
,,,,,,,
Test Cases/DMS_Renewal dan Upgrade Asuransi Aswata/Matriks 9.12/12.4. Billing belum dibayar,,,,2022-06-16 16:03:38,2022-06-16 16:05:27,1m - 48.970s,PASSED
"baseDir = System.getProperty(""user.dir"")",,Get directory project,,2022-06-16 16:03:39,2022-06-16 16:03:39,0.001s,PASSED
"startExistingApplication(""com.vq.mbrochuregp.client.android"", STOP_ON_FAILURE)",,,,2022-06-16 16:03:39,2022-06-16 16:03:51,11.780s,PASSED
delay(8),,,,2022-06-16 16:03:51,2022-06-16 16:03:59,8.003s,PASSED
pressBack(),,,,2022-06-16 16:03:59,2022-06-16 16:03:59,0.289s,PASSED
"tap(findTestObject(""DMS_FINA_Mobile/FINA_Login/android.widget.Button - TIDAK""), 0)",,,,2022-06-16 16:03:59,2022-06-16 16:04:01,2.080s,PASSED
"tap(findTestObject(""DMS_FINA_Mobile/FINA_BottomNav_Billing_Button""), 0)",,,,2022-06-16 16:04:01,2022-06-16 16:04:04,2.403s,PASSED
delay(20),,,,2022-06-16 16:04:04,2022-06-16 16:04:24,20.008s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathasuransicakpro + ""skenario-12.10-list billing belum dibayar"" + "".png"", STOP_ON_FAILURE)",,,,2022-06-16 16:04:24,2022-06-16 16:04:25,1.753s,PASSED
"tap(findTestObject(""DMS_FINA_Mobile/FINA_Billing/FINA_Billing_Sudah Dibayar""), 0)",,,,2022-06-16 16:04:25,2022-06-16 16:04:28,2.616s,PASSED
delay(2),,,,2022-06-16 16:04:28,2022-06-16 16:04:30,2.009s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathasuransicakpro + ""skenario-12.11-list billing sudah dibayar"" + "".png"", STOP_ON_FAILURE)",,,,2022-06-16 16:04:30,2022-06-16 16:04:32,1.755s,PASSED
"tap(findTestObject(""DMS_FINA_Mobile/FINA_Billing/FINA_Billing_Belum Dibayar""), 0)",,,,2022-06-16 16:04:32,2022-06-16 16:04:33,1.534s,PASSED
"tap(findTestObject(""DMS_FINA_Mobile/FINA_Billing/FINA_Billing_List1_Button""), 0)",,,,2022-06-16 16:04:33,2022-06-16 16:04:36,2.383s,PASSED
delay(20),,,,2022-06-16 16:04:36,2022-06-16 16:04:56,20.018s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathasuransicakpro + ""skenario-12.12-detail billing belum dibayar"" + "".png"", STOP_ON_FAILURE)",,,,2022-06-16 16:04:56,2022-06-16 16:04:58,1.958s,PASSED
"tap(findTestObject(""DMS_FINA_Mobile/FINA_Billing/FINA_Billing_Email_Button""), 0)",,,,2022-06-16 16:04:58,2022-06-16 16:04:59,1.173s,PASSED
delay(2),,,,2022-06-16 16:04:59,2022-06-16 16:05:01,2.010s,PASSED
