Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
3. Login - billing belum dibayar,,,,2022-06-27 10:44:06,2022-06-27 10:46:55,2m - 49.196s,PASSED
,,,,,,,
Test Cases/DMS_Renewal dan Upgrade Asuransi Aswata/Matriks 8/8.1. Login - konsumen,,,,2022-06-27 10:44:07,2022-06-27 10:45:07,1m - 0.494s,PASSED
"baseDir = System.getProperty(""user.dir"")",,Get directory project,,2022-06-27 10:44:09,2022-06-27 10:44:09,0.004s,PASSED
"startExistingApplication(""com.vq.mbrochuregp.client.android"", STOP_ON_FAILURE)",,,,2022-06-27 10:44:09,2022-06-27 10:44:32,22.716s,PASSED
delay(8),,,,2022-06-27 10:44:32,2022-06-27 10:44:40,8.106s,PASSED
"element = findElement(findTestObject(""DMS_FINA_Mobile/FINA_BottomNav_Account_Button""), 10)",,,,2022-06-27 10:44:40,2022-06-27 10:44:43,2.650s,PASSED
element.click(),,,,2022-06-27 10:44:43,2022-06-27 10:44:43,0.271s,PASSED
"setText(findTestObject(""DMS_FINA_Mobile/FINA_Login/Login_Text""), findTestData(""DMS_Asr_Cakpro"").getObjectValue(""Login"", 33), 0)",,,,2022-06-27 10:44:43,2022-06-27 10:44:46,2.825s,PASSED
"setText(findTestObject(""DMS_FINA_Mobile/FINA_Login/Login_Password_Text""), findTestData(""DMS_Asr_Cakpro"").getObjectValue(""Pass"", 33), 0)",,,,2022-06-27 10:44:46,2022-06-27 10:44:48,1.564s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathasuransicakpro + ""skenario-8.1-input username dan password"" + "".png"", STOP_ON_FAILURE)",,,,2022-06-27 10:44:48,2022-06-27 10:44:51,3.947s,PASSED
"tap(findTestObject(""DMS_FINA_Mobile/FINA_Login/FINA_Login_Button""), 0)",,set user login,,2022-06-27 10:44:51,2022-06-27 10:44:52,0.804s,PASSED
"delay(0, STOP_ON_FAILURE)",,,,2022-06-27 10:44:52,2022-06-27 10:44:52,0.013s,PASSED
"scrollToText(""Suku Bunga"", STOP_ON_FAILURE)",,,,2022-06-27 10:44:52,2022-06-27 10:45:01,8.288s,PASSED
"elementAccount = findElement(findTestObject(""DMS_FINA_Mobile/FINA_BottomNav_Account_Button""), 10)",,,,2022-06-27 10:45:01,2022-06-27 10:45:01,0.852s,PASSED
elementAccount.click(),,,,2022-06-27 10:45:01,2022-06-27 10:45:02,0.081s,PASSED
delay(2),,,,2022-06-27 10:45:02,2022-06-27 10:45:04,2.066s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathasuransicakpro + ""skenario-8.2-berhasil login"" + "".png"", STOP_ON_FAILURE)",,,,2022-06-27 10:45:04,2022-06-27 10:45:06,2.482s,PASSED
"elementHome = findElement(findTestObject(""DMS_FINA_Mobile/FINA_BottomNav_Home_Button""), 10)",,,,2022-06-27 10:45:06,2022-06-27 10:45:07,0.626s,PASSED
