Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
3. Login - billing belum dibayar,,,,2022-06-27 11:20:27,2022-06-27 11:23:03,2m - 36.287s,PASSED
,,,,,,,
Test Cases/DMS_Renewal dan Upgrade Asuransi Aswata/Matriks 9.14/14.1. Login - konsumen,,,,2022-06-27 11:20:27,2022-06-27 11:21:18,50.509s,PASSED
"baseDir = System.getProperty(""user.dir"")",,Get directory project,,2022-06-27 11:20:28,2022-06-27 11:20:28,0.005s,PASSED
"startExistingApplication(""com.vq.mbrochuregp.client.android"", STOP_ON_FAILURE)",,,,2022-06-27 11:20:28,2022-06-27 11:20:45,17.174s,PASSED
delay(8),,,,2022-06-27 11:20:45,2022-06-27 11:20:54,8.080s,PASSED
"element = findElement(findTestObject(""DMS_FINA_Mobile/FINA_BottomNav_Account_Button""), 10)",,,,2022-06-27 11:20:54,2022-06-27 11:20:54,0.677s,PASSED
element.click(),,,,2022-06-27 11:20:54,2022-06-27 11:20:54,0.147s,PASSED
"setText(findTestObject(""DMS_FINA_Mobile/FINA_Login/Login_Text""), findTestData(""DMS_Asr_Cakpro"").getObjectValue(""Login"", 61), 0)",,,,2022-06-27 11:20:54,2022-06-27 11:20:57,2.959s,PASSED
"setText(findTestObject(""DMS_FINA_Mobile/FINA_Login/Login_Password_Text""), findTestData(""DMS_Asr_Cakpro"").getObjectValue(""Pass"", 61), 0)",,,,2022-06-27 11:20:57,2022-06-27 11:20:59,1.299s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathasuransicakpro + ""skenario-14.1-input username dan password"" + "".png"", STOP_ON_FAILURE)",,,,2022-06-27 11:20:59,2022-06-27 11:21:02,3.245s,PASSED
"tap(findTestObject(""DMS_FINA_Mobile/FINA_Login/FINA_Login_Button""), 0)",,set user login,,2022-06-27 11:21:02,2022-06-27 11:21:03,0.787s,PASSED
"delay(0, STOP_ON_FAILURE)",,,,2022-06-27 11:21:03,2022-06-27 11:21:03,0.007s,PASSED
