Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FINA - API Payment,,,,2022-06-27 11:37:07,2022-06-27 11:37:22,14.663s,PASSED
,,,,,,,
Test Cases/DMS_FINA_API/FINA_Payment_VA,,,,2022-06-27 11:37:08,2022-06-27 11:37:13,5.115s,PASSED
"payment = sendRequest(findTestObject(""DMS_FINA_API/Payment VA"", [""c_code"":c_code, ""cust_no"":cust_no, ""req_id"":req_id, ""channel_type"":channel_type, ""cust_name"":cust_name, ""paid_amount"":paid_amount, ... ]))",,call service payment VA,,2022-06-27 11:37:09,2022-06-27 11:37:13,3.918s,PASSED
response = payment.getResponseText(),,show response to report in test suite,,2022-06-27 11:37:13,2022-06-27 11:37:13,0.026s,PASSED
"markPassed(""result payment data ke : "" + no)",,,,2022-06-27 11:37:13,2022-06-27 11:37:13,0.027s,PASSED
logInfo($response),,,,2022-06-27 11:37:13,2022-06-27 11:37:13,0.073s,PASSED
,,,,,,,
Test Cases/DMS_FINA_API/FINA_Payment_VA,,,,2022-06-27 11:37:13,2022-06-27 11:37:14,0.518s,PASSED
"payment = sendRequest(findTestObject(""DMS_FINA_API/Payment VA"", [""c_code"":c_code, ""cust_no"":cust_no, ""req_id"":req_id, ""channel_type"":channel_type, ""cust_name"":cust_name, ""paid_amount"":paid_amount, ... ]))",,call service payment VA,,2022-06-27 11:37:13,2022-06-27 11:37:14,0.487s,PASSED
response = payment.getResponseText(),,show response to report in test suite,,2022-06-27 11:37:14,2022-06-27 11:37:14,0.001s,PASSED
"markPassed(""result payment data ke : "" + no)",,,,2022-06-27 11:37:14,2022-06-27 11:37:14,0.002s,PASSED
logInfo($response),,,,2022-06-27 11:37:14,2022-06-27 11:37:14,0.001s,PASSED
,,,,,,,
Test Cases/DMS_FINA_API/FINA_Payment_VA,,,,2022-06-27 11:37:14,2022-06-27 11:37:16,1.900s,PASSED
"payment = sendRequest(findTestObject(""DMS_FINA_API/Payment VA"", [""c_code"":c_code, ""cust_no"":cust_no, ""req_id"":req_id, ""channel_type"":channel_type, ""cust_name"":cust_name, ""paid_amount"":paid_amount, ... ]))",,call service payment VA,,2022-06-27 11:37:14,2022-06-27 11:37:16,1.875s,PASSED
response = payment.getResponseText(),,show response to report in test suite,,2022-06-27 11:37:16,2022-06-27 11:37:16,0.001s,PASSED
"markPassed(""result payment data ke : "" + no)",,,,2022-06-27 11:37:16,2022-06-27 11:37:16,0.003s,PASSED
logInfo($response),,,,2022-06-27 11:37:16,2022-06-27 11:37:16,0.002s,PASSED
,,,,,,,
Test Cases/DMS_FINA_API/FINA_Payment_VA,,,,2022-06-27 11:37:16,2022-06-27 11:37:16,0.429s,PASSED
