Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Biling Sudah Di Bayar ( 8 - 15 ),,,,2022-06-27 13:50:01,2022-06-27 14:02:12,12m - 10.783s,PASSED
,,,,,,,
Test Cases/DMS_Renewal dan Upgrade Asuransi Aswata/Matriks 8/8.1. Login - konsumen,,,,2022-06-27 13:50:01,2022-06-27 13:50:59,57.511s,PASSED
"baseDir = System.getProperty(""user.dir"")",,Get directory project,,2022-06-27 13:50:03,2022-06-27 13:50:03,0.007s,PASSED
"startExistingApplication(""com.vq.mbrochuregp.client.android"", STOP_ON_FAILURE)",,,,2022-06-27 13:50:03,2022-06-27 13:50:23,20.548s,PASSED
delay(8),,,,2022-06-27 13:50:23,2022-06-27 13:50:31,8.131s,PASSED
"element = findElement(findTestObject(""DMS_FINA_Mobile/FINA_BottomNav_Account_Button""), 10)",,,,2022-06-27 13:50:31,2022-06-27 13:50:32,0.904s,PASSED
element.click(),,,,2022-06-27 13:50:32,2022-06-27 13:50:33,0.193s,PASSED
"setText(findTestObject(""DMS_FINA_Mobile/FINA_Login/Login_Text""), findTestData(""DMS_Asr_Cakpro"").getObjectValue(""Login"", 33), 0)",,,,2022-06-27 13:50:33,2022-06-27 13:50:36,3.009s,PASSED
"setText(findTestObject(""DMS_FINA_Mobile/FINA_Login/Login_Password_Text""), findTestData(""DMS_Asr_Cakpro"").getObjectValue(""Pass"", 33), 0)",,,,2022-06-27 13:50:36,2022-06-27 13:50:37,1.332s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathasuransicakpro + ""skenario-8.1-input username dan password"" + "".png"", STOP_ON_FAILURE)",,,,2022-06-27 13:50:37,2022-06-27 13:50:40,3.197s,PASSED
"tap(findTestObject(""DMS_FINA_Mobile/FINA_Login/FINA_Login_Button""), 0)",,set user login,,2022-06-27 13:50:40,2022-06-27 13:50:41,0.683s,PASSED
"delay(0, STOP_ON_FAILURE)",,,,2022-06-27 13:50:41,2022-06-27 13:50:41,0.009s,PASSED
"scrollToText(""Suku Bunga"", STOP_ON_FAILURE)",,,,2022-06-27 13:50:41,2022-06-27 13:50:53,12.345s,PASSED
"elementAccount = findElement(findTestObject(""DMS_FINA_Mobile/FINA_BottomNav_Account_Button""), 10)",,,,2022-06-27 13:50:53,2022-06-27 13:50:54,0.721s,PASSED
elementAccount.click(),,,,2022-06-27 13:50:54,2022-06-27 13:50:54,0.103s,PASSED
delay(2),,,,2022-06-27 13:50:54,2022-06-27 13:50:56,2.067s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathasuransicakpro + ""skenario-8.2-berhasil login"" + "".png"", STOP_ON_FAILURE)",,,,2022-06-27 13:50:56,2022-06-27 13:50:58,2.066s,PASSED
"elementHome = findElement(findTestObject(""DMS_FINA_Mobile/FINA_BottomNav_Home_Button""), 10)",,,,2022-06-27 13:50:58,2022-06-27 13:50:59,0.648s,PASSED
elementHome.click(),,,,2022-06-27 13:50:59,2022-06-27 13:50:59,0.086s,PASSED
,,,,,,,
Test Cases/DMS_Renewal dan Upgrade Asuransi Aswata/Matriks 8/8.5. Billing sudah dibayar,,,,2022-06-27 13:50:59,2022-06-27 13:51:57,58.408s,PASSED
"baseDir = System.getProperty(""user.dir"")",,Get directory project,,2022-06-27 13:51:00,2022-06-27 13:51:00,0.001s,PASSED
"startExistingApplication(""com.vq.mbrochuregp.client.android"", STOP_ON_FAILURE)",,,,2022-06-27 13:51:00,2022-06-27 13:51:11,11.208s,PASSED
delay(8),,,,2022-06-27 13:51:11,2022-06-27 13:51:19,8.022s,PASSED
pressBack(),,,,2022-06-27 13:51:19,2022-06-27 13:51:19,0.396s,PASSED
"tap(findTestObject(""DMS_FINA_Mobile/FINA_Login/android.widget.Button - TIDAK""), 0)",,,,2022-06-27 13:51:19,2022-06-27 13:51:21,1.340s,PASSED
"tap(findTestObject(""DMS_FINA_Mobile/FINA_BottomNav_Billing_Button""), 0)",,,,2022-06-27 13:51:21,2022-06-27 13:51:22,1.276s,PASSED
delay(20),,,,2022-06-27 13:51:22,2022-06-27 13:51:42,20.020s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathasuransicakpro + ""skenario-8.16-list billing belum dibayar"" + "".png"", STOP_ON_FAILURE)",,,,2022-06-27 13:51:42,2022-06-27 13:51:44,2.189s,PASSED
"tap(findTestObject(""DMS_FINA_Mobile/FINA_Billing/FINA_Billing_Sudah Dibayar""), 0)",,,,2022-06-27 13:51:44,2022-06-27 13:51:46,1.754s,PASSED
delay(2),,,,2022-06-27 13:51:46,2022-06-27 13:51:48,2.013s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathasuransicakpro + ""skenario-8.17-list billing sudah dibayar"" + "".png"", STOP_ON_FAILURE)",,,,2022-06-27 13:51:48,2022-06-27 13:51:50,2.023s,PASSED
pressBack(),,,,2022-06-27 13:51:50,2022-06-27 13:51:50,0.403s,PASSED
pressBack(),,,,2022-06-27 13:51:50,2022-06-27 13:51:51,0.956s,PASSED
"Account = findElement(findTestObject(""Object Repository/DMS_FINA_Mobile/FINA_BottomNav_Account_Button""), 10)",,,,2022-06-27 13:51:51,2022-06-27 13:51:52,0.849s,PASSED
Account.click(),,,,2022-06-27 13:51:52,2022-06-27 13:51:52,0.146s,PASSED
delay(5),,,,2022-06-27 13:51:52,2022-06-27 13:51:57,5.016s,PASSED
,,,,,,,
Test Cases/DMS_Renewal dan Upgrade Asuransi Aswata/Matriks 9.10/10.1. Login - konsumen,,,,2022-06-27 13:51:57,2022-06-27 13:52:41,43.530s,PASSED
"baseDir = System.getProperty(""user.dir"")",,Get directory project,,2022-06-27 13:51:58,2022-06-27 13:51:58,0.001s,PASSED
"startExistingApplication(""com.vq.mbrochuregp.client.android"", STOP_ON_FAILURE)",,,,2022-06-27 13:51:58,2022-06-27 13:52:10,11.367s,PASSED
delay(8),,,,2022-06-27 13:52:10,2022-06-27 13:52:18,8.009s,PASSED
"element = findElement(findTestObject(""DMS_FINA_Mobile/FINA_BottomNav_Account_Button""), 10)",,,,2022-06-27 13:52:18,2022-06-27 13:52:18,0.761s,PASSED
element.click(),,,,2022-06-27 13:52:18,2022-06-27 13:52:19,0.111s,PASSED
"setText(findTestObject(""DMS_FINA_Mobile/FINA_Login/Login_Text""), findTestData(""DMS_Asr_Cakpro"").getObjectValue(""Login"", 41), 0)",,,,2022-06-27 13:52:19,2022-06-27 13:52:21,2.040s,PASSED
"setText(findTestObject(""DMS_FINA_Mobile/FINA_Login/Login_Password_Text""), findTestData(""DMS_Asr_Cakpro"").getObjectValue(""Pass"", 41), 0)",,,,2022-06-27 13:52:21,2022-06-27 13:52:22,1.864s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathasuransicakpro + ""skenario-10.1-input username dan password"" + "".png"", STOP_ON_FAILURE)",,,,2022-06-27 13:52:22,2022-06-27 13:52:24,1.976s,PASSED
"tap(findTestObject(""DMS_FINA_Mobile/FINA_Login/FINA_Login_Button""), 0)",,set user login,,2022-06-27 13:52:24,2022-06-27 13:52:25,0.717s,PASSED
"delay(0, STOP_ON_FAILURE)",,,,2022-06-27 13:52:25,2022-06-27 13:52:25,0.008s,PASSED
"scrollToText(""Suku Bunga"", STOP_ON_FAILURE)",,,,2022-06-27 13:52:25,2022-06-27 13:52:34,9.256s,PASSED
"elementAccount = findElement(findTestObject(""DMS_FINA_Mobile/FINA_BottomNav_Account_Button""), 10)",,,,2022-06-27 13:52:34,2022-06-27 13:52:35,0.761s,PASSED
elementAccount.click(),,,,2022-06-27 13:52:35,2022-06-27 13:52:35,0.123s,PASSED
delay(2),,,,2022-06-27 13:52:35,2022-06-27 13:52:37,2.019s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathasuransicakpro + ""skenario-10.2-berhasil login"" + "".png"", STOP_ON_FAILURE)",,,,2022-06-27 13:52:37,2022-06-27 13:52:39,2.134s,PASSED
"elementHome = findElement(findTestObject(""DMS_FINA_Mobile/FINA_BottomNav_Home_Button""), 10)",,,,2022-06-27 13:52:39,2022-06-27 13:52:41,1.207s,PASSED
elementHome.click(),,,,2022-06-27 13:52:41,2022-06-27 13:52:41,0.131s,PASSED
,,,,,,,
Test Cases/DMS_Renewal dan Upgrade Asuransi Aswata/Matriks 9.10/10.5. Billing sudah dibayar,,,,2022-06-27 13:52:41,2022-06-27 13:53:39,58.403s,PASSED
"baseDir = System.getProperty(""user.dir"")",,Get directory project,,2022-06-27 13:52:42,2022-06-27 13:52:42,0.002s,PASSED
"startExistingApplication(""com.vq.mbrochuregp.client.android"", STOP_ON_FAILURE)",,,,2022-06-27 13:52:42,2022-06-27 13:52:53,11.271s,PASSED
delay(8),,,,2022-06-27 13:52:53,2022-06-27 13:53:01,8.009s,PASSED
pressBack(),,,,2022-06-27 13:53:01,2022-06-27 13:53:01,0.331s,PASSED
"tap(findTestObject(""DMS_FINA_Mobile/FINA_Login/android.widget.Button - TIDAK""), 0)",,,,2022-06-27 13:53:01,2022-06-27 13:53:03,1.852s,PASSED
"tap(findTestObject(""DMS_FINA_Mobile/FINA_BottomNav_Billing_Button""), 0)",,,,2022-06-27 13:53:03,2022-06-27 13:53:04,1.111s,PASSED
delay(20),,,,2022-06-27 13:53:04,2022-06-27 13:53:24,20.007s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathasuransicakpro + ""skenario-10.16-list billing belum dibayar"" + "".png"", STOP_ON_FAILURE)",,,,2022-06-27 13:53:24,2022-06-27 13:53:26,2.123s,PASSED
"tap(findTestObject(""DMS_FINA_Mobile/FINA_Billing/FINA_Billing_Sudah Dibayar""), 0)",,,,2022-06-27 13:53:26,2022-06-27 13:53:28,1.735s,PASSED
delay(2),,,,2022-06-27 13:53:28,2022-06-27 13:53:30,2.016s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathasuransicakpro + ""skenario-10.17-list billing sudah dibayar"" + "".png"", STOP_ON_FAILURE)",,,,2022-06-27 13:53:30,2022-06-27 13:53:32,2.074s,PASSED
pressBack(),,,,2022-06-27 13:53:32,2022-06-27 13:53:33,0.412s,PASSED
pressBack(),,,,2022-06-27 13:53:33,2022-06-27 13:53:33,0.758s,PASSED
"Account = findElement(findTestObject(""Object Repository/DMS_FINA_Mobile/FINA_BottomNav_Account_Button""), 10)",,,,2022-06-27 13:53:33,2022-06-27 13:53:34,0.826s,PASSED
Account.click(),,,,2022-06-27 13:53:34,2022-06-27 13:53:34,0.112s,PASSED
delay(5),,,,2022-06-27 13:53:34,2022-06-27 13:53:39,5.010s,PASSED
,,,,,,,
Test Cases/DMS_Renewal dan Upgrade Asuransi Aswata/Matriks 9.11/11.1. Login - konsumen,,,,2022-06-27 13:53:39,2022-06-27 13:54:22,43.176s,PASSED
"baseDir = System.getProperty(""user.dir"")",,Get directory project,,2022-06-27 13:53:40,2022-06-27 13:53:40,0.001s,PASSED
"startExistingApplication(""com.vq.mbrochuregp.client.android"", STOP_ON_FAILURE)",,,,2022-06-27 13:53:40,2022-06-27 13:53:52,11.487s,PASSED
delay(8),,,,2022-06-27 13:53:52,2022-06-27 13:54:00,8.016s,PASSED
"element = findElement(findTestObject(""DMS_FINA_Mobile/FINA_BottomNav_Account_Button""), 10)",,,,2022-06-27 13:54:00,2022-06-27 13:54:00,0.828s,PASSED
element.click(),,,,2022-06-27 13:54:00,2022-06-27 13:54:01,0.111s,PASSED
"setText(findTestObject(""DMS_FINA_Mobile/FINA_Login/Login_Text""), findTestData(""DMS_Asr_Cakpro"").getObjectValue(""Login"", 47), 0)",,,,2022-06-27 13:54:01,2022-06-27 13:54:02,1.548s,PASSED
"setText(findTestObject(""DMS_FINA_Mobile/FINA_Login/Login_Password_Text""), findTestData(""DMS_Asr_Cakpro"").getObjectValue(""Pass"", 47), 0)",,,,2022-06-27 13:54:02,2022-06-27 13:54:04,1.857s,PASSED
