Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Tracking ( 8 - 15 ),,,,2022-06-27 14:11:05,2022-06-27 14:24:47,13m - 42.804s,PASSED
,,,,,,,
Test Cases/DMS_Renewal dan Upgrade Asuransi Aswata/Matriks 8/8.1. Login - konsumen,,,,2022-06-27 14:11:05,2022-06-27 14:11:55,49.663s,PASSED
"baseDir = System.getProperty(""user.dir"")",,Get directory project,,2022-06-27 14:11:06,2022-06-27 14:11:06,0.005s,PASSED
"startExistingApplication(""com.vq.mbrochuregp.client.android"", STOP_ON_FAILURE)",,,,2022-06-27 14:11:06,2022-06-27 14:11:24,17.355s,PASSED
delay(8),,,,2022-06-27 14:11:24,2022-06-27 14:11:32,8.096s,PASSED
"element = findElement(findTestObject(""DMS_FINA_Mobile/FINA_BottomNav_Account_Button""), 10)",,,,2022-06-27 14:11:32,2022-06-27 14:11:32,0.757s,PASSED
element.click(),,,,2022-06-27 14:11:32,2022-06-27 14:11:33,0.165s,PASSED
"setText(findTestObject(""DMS_FINA_Mobile/FINA_Login/Login_Text""), findTestData(""DMS_Asr_Cakpro"").getObjectValue(""Login"", 33), 0)",,,,2022-06-27 14:11:33,2022-06-27 14:11:35,2.261s,PASSED
"setText(findTestObject(""DMS_FINA_Mobile/FINA_Login/Login_Password_Text""), findTestData(""DMS_Asr_Cakpro"").getObjectValue(""Pass"", 33), 0)",,,,2022-06-27 14:11:35,2022-06-27 14:11:36,1.404s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathasuransicakpro + ""skenario-8.1-input username dan password"" + "".png"", STOP_ON_FAILURE)",,,,2022-06-27 14:11:36,2022-06-27 14:11:39,3.096s,PASSED
"tap(findTestObject(""DMS_FINA_Mobile/FINA_Login/FINA_Login_Button""), 0)",,set user login,,2022-06-27 14:11:39,2022-06-27 14:11:40,0.803s,PASSED
"delay(0, STOP_ON_FAILURE)",,,,2022-06-27 14:11:40,2022-06-27 14:11:40,0.009s,PASSED
"scrollToText(""Suku Bunga"", STOP_ON_FAILURE)",,,,2022-06-27 14:11:40,2022-06-27 14:11:49,8.564s,PASSED
"elementAccount = findElement(findTestObject(""DMS_FINA_Mobile/FINA_BottomNav_Account_Button""), 10)",,,,2022-06-27 14:11:49,2022-06-27 14:11:50,0.836s,PASSED
elementAccount.click(),,,,2022-06-27 14:11:50,2022-06-27 14:11:50,0.104s,PASSED
delay(2),,,,2022-06-27 14:11:50,2022-06-27 14:11:52,2.033s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathasuransicakpro + ""skenario-8.2-berhasil login"" + "".png"", STOP_ON_FAILURE)",,,,2022-06-27 14:11:52,2022-06-27 14:11:54,1.882s,PASSED
"elementHome = findElement(findTestObject(""DMS_FINA_Mobile/FINA_BottomNav_Home_Button""), 10)",,,,2022-06-27 14:11:54,2022-06-27 14:11:55,1.063s,PASSED
elementHome.click(),,,,2022-06-27 14:11:55,2022-06-27 14:11:55,0.083s,PASSED
,,,,,,,
Test Cases/DMS_Renewal dan Upgrade Asuransi Aswata/Matriks 8/8.3. Tracking Pengajuan,,,,2022-06-27 14:11:55,2022-06-27 14:13:08,1m - 13.383s,PASSED
"baseDir = System.getProperty(""user.dir"")",,Get directory project,,2022-06-27 14:11:56,2022-06-27 14:11:56,0.001s,PASSED
"startExistingApplication(""com.vq.mbrochuregp.client.android"", STOP_ON_FAILURE)",,,,2022-06-27 14:11:56,2022-06-27 14:12:06,10.251s,PASSED
delay(8),,,,2022-06-27 14:12:06,2022-06-27 14:12:14,8.018s,PASSED
pressBack(),,,,2022-06-27 14:12:14,2022-06-27 14:12:14,0.563s,PASSED
"tap(findTestObject(""DMS_FINA_Mobile/FINA_Login/android.widget.Button - TIDAK""), 0)",,,,2022-06-27 14:12:14,2022-06-27 14:12:16,2.136s,PASSED
"tap(findTestObject(""DMS_FINA_Mobile/FINA_Mobile_Main Menu/FINA_Menu_More_Button""), 0)",,,,2022-06-27 14:12:16,2022-06-27 14:12:18,1.360s,PASSED
"tap(findTestObject(""APN_Fina New Versi/More/Tracking/Fina_Menu_More_Tracking""), 0)",,,,2022-06-27 14:12:18,2022-06-27 14:12:19,1.395s,PASSED
delay(15),,,,2022-06-27 14:12:19,2022-06-27 14:12:34,15.013s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathasuransicakpro + ""skenario-8.8-list pengajuan"" + "".png"", STOP_ON_FAILURE)",,,,2022-06-27 14:12:34,2022-06-27 14:12:36,1.754s,PASSED
"tap(findTestObject(""APN_Fina New Versi/More/Tracking/Fina_Menu_More_Tracking_ListData1""), 0)",,,,2022-06-27 14:12:36,2022-06-27 14:12:37,0.880s,PASSED
delay(15),,,,2022-06-27 14:12:37,2022-06-27 14:12:52,15.014s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathasuransicakpro + ""skenario-8.9-detail pengajuan"" + "".png"", STOP_ON_FAILURE)",,,,2022-06-27 14:12:52,2022-06-27 14:12:54,1.841s,PASSED
pressBack(),,,,2022-06-27 14:12:54,2022-06-27 14:12:55,0.842s,PASSED
pressBack(),,,,2022-06-27 14:12:55,2022-06-27 14:12:56,1.303s,PASSED
pressBack(),,,,2022-06-27 14:12:56,2022-06-27 14:12:57,1.005s,PASSED
"Account = findElement(findTestObject(""Object Repository/DMS_FINA_Mobile/FINA_BottomNav_Account_Button""), 10)",,,,2022-06-27 14:12:57,2022-06-27 14:12:58,1.091s,PASSED
Account.click(),,,,2022-06-27 14:12:58,2022-06-27 14:12:58,0.181s,PASSED
delay(10),,,,2022-06-27 14:12:58,2022-06-27 14:13:08,10.017s,PASSED
,,,,,,,
Test Cases/DMS_Renewal dan Upgrade Asuransi Aswata/Matriks 9.10/10.1. Login - konsumen,,,,2022-06-27 14:13:08,2022-06-27 14:13:51,42.628s,PASSED
"baseDir = System.getProperty(""user.dir"")",,Get directory project,,2022-06-27 14:13:09,2022-06-27 14:13:09,0.001s,PASSED
"startExistingApplication(""com.vq.mbrochuregp.client.android"", STOP_ON_FAILURE)",,,,2022-06-27 14:13:09,2022-06-27 14:13:19,10.418s,PASSED
delay(8),,,,2022-06-27 14:13:19,2022-06-27 14:13:27,8.018s,PASSED
"element = findElement(findTestObject(""DMS_FINA_Mobile/FINA_BottomNav_Account_Button""), 10)",,,,2022-06-27 14:13:27,2022-06-27 14:13:29,1.729s,PASSED
element.click(),,,,2022-06-27 14:13:29,2022-06-27 14:13:29,0.124s,PASSED
"setText(findTestObject(""DMS_FINA_Mobile/FINA_Login/Login_Text""), findTestData(""DMS_Asr_Cakpro"").getObjectValue(""Login"", 41), 0)",,,,2022-06-27 14:13:29,2022-06-27 14:13:31,1.714s,PASSED
"setText(findTestObject(""DMS_FINA_Mobile/FINA_Login/Login_Password_Text""), findTestData(""DMS_Asr_Cakpro"").getObjectValue(""Pass"", 41), 0)",,,,2022-06-27 14:13:31,2022-06-27 14:13:33,1.922s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathasuransicakpro + ""skenario-10.1-input username dan password"" + "".png"", STOP_ON_FAILURE)",,,,2022-06-27 14:13:33,2022-06-27 14:13:35,1.896s,PASSED
"tap(findTestObject(""DMS_FINA_Mobile/FINA_Login/FINA_Login_Button""), 0)",,set user login,,2022-06-27 14:13:35,2022-06-27 14:13:35,0.759s,PASSED
"delay(0, STOP_ON_FAILURE)",,,,2022-06-27 14:13:35,2022-06-27 14:13:35,0.006s,PASSED
"scrollToText(""Suku Bunga"", STOP_ON_FAILURE)",,,,2022-06-27 14:13:35,2022-06-27 14:13:45,9.520s,PASSED
"elementAccount = findElement(findTestObject(""DMS_FINA_Mobile/FINA_BottomNav_Account_Button""), 10)",,,,2022-06-27 14:13:45,2022-06-27 14:13:46,0.959s,PASSED
elementAccount.click(),,,,2022-06-27 14:13:46,2022-06-27 14:13:46,0.108s,PASSED
delay(2),,,,2022-06-27 14:13:46,2022-06-27 14:13:48,2.016s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathasuransicakpro + ""skenario-10.2-berhasil login"" + "".png"", STOP_ON_FAILURE)",,,,2022-06-27 14:13:48,2022-06-27 14:13:50,1.937s,PASSED
"elementHome = findElement(findTestObject(""DMS_FINA_Mobile/FINA_BottomNav_Home_Button""), 10)",,,,2022-06-27 14:13:50,2022-06-27 14:13:51,0.708s,PASSED
elementHome.click(),,,,2022-06-27 14:13:51,2022-06-27 14:13:51,0.075s,PASSED
,,,,,,,
Test Cases/DMS_Renewal dan Upgrade Asuransi Aswata/Matriks 9.10/10.3. Tracking Pengajuan,,,,2022-06-27 14:13:51,2022-06-27 14:15:04,1m - 12.905s,PASSED
"baseDir = System.getProperty(""user.dir"")",,Get directory project,,2022-06-27 14:13:52,2022-06-27 14:13:52,0.001s,PASSED
"startExistingApplication(""com.vq.mbrochuregp.client.android"", STOP_ON_FAILURE)",,,,2022-06-27 14:13:52,2022-06-27 14:14:02,10.125s,PASSED
delay(8),,,,2022-06-27 14:14:02,2022-06-27 14:14:10,8.017s,PASSED
pressBack(),,,,2022-06-27 14:14:10,2022-06-27 14:14:10,0.643s,PASSED
"tap(findTestObject(""DMS_FINA_Mobile/FINA_Login/android.widget.Button - TIDAK""), 0)",,,,2022-06-27 14:14:10,2022-06-27 14:14:12,1.170s,PASSED
"tap(findTestObject(""DMS_FINA_Mobile/FINA_Mobile_Main Menu/FINA_Menu_More_Button""), 0)",,,,2022-06-27 14:14:12,2022-06-27 14:14:13,1.180s,PASSED
"tap(findTestObject(""APN_Fina New Versi/More/Tracking/Fina_Menu_More_Tracking""), 0)",,,,2022-06-27 14:14:13,2022-06-27 14:14:14,1.094s,PASSED
delay(15),,,,2022-06-27 14:14:14,2022-06-27 14:14:29,15.016s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathasuransicakpro + ""skenario-10.8-list pengajuan"" + "".png"", STOP_ON_FAILURE)",,,,2022-06-27 14:14:29,2022-06-27 14:14:31,1.822s,PASSED
"tap(findTestObject(""APN_Fina New Versi/More/Tracking/Fina_Menu_More_Tracking_ListData1""), 0)",,,,2022-06-27 14:14:31,2022-06-27 14:14:32,1.641s,PASSED
delay(15),,,,2022-06-27 14:14:32,2022-06-27 14:14:47,15.016s,PASSED
