Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
3. Login - billing belum dibayar,,,,2022-06-28 13:22:45,2022-06-28 13:25:46,3m - 1.372s,PASSED
,,,,,,,
Test Cases/DMS_Renewal dan Upgrade Asuransi Aswata/Matriks 1/1.1. Login - konsumen,,,,2022-06-28 13:22:45,2022-06-28 13:24:00,1m - 14.739s,PASSED
"baseDir = System.getProperty(""user.dir"")",,Get directory project,,2022-06-28 13:22:46,2022-06-28 13:22:46,0.004s,PASSED
"startExistingApplication(""com.vq.mbrochuregp.client.android"", STOP_ON_FAILURE)",,,,2022-06-28 13:22:46,2022-06-28 13:23:05,19.015s,PASSED
delay(8),,,,2022-06-28 13:23:05,2022-06-28 13:23:14,8.279s,PASSED
"setText(findTestObject(""DMS_FINA_Mobile/test/android.widget.EditText - Email""), findTestData(""DMS_Asr_Cakpro"").getObjectValue(""Login"", 1), 0)",,,,2022-06-28 13:23:14,2022-06-28 13:23:40,26.006s,PASSED
"setText(findTestObject(""DMS_FINA_Mobile/test/android.widget.EditText - Password""), findTestData(""DMS_Asr_Cakpro"").getObjectValue(""Pass"", 1), 0)",,,,2022-06-28 13:23:40,2022-06-28 13:23:41,1.348s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathasuransicakpro + ""skenario-1.1-input username dan password"" + "".png"", STOP_ON_FAILURE)",,,,2022-06-28 13:23:41,2022-06-28 13:23:44,3.446s,PASSED
"tap(findTestObject(""DMS_FINA_Mobile/FINA_Login/FINA_Login_Button""), 0)",,set user login,,2022-06-28 13:23:44,2022-06-28 13:23:45,0.683s,PASSED
delay(9),,,,2022-06-28 13:23:45,2022-06-28 13:23:54,9.033s,PASSED
"elementAccount = findElement(findTestObject(""DMS_FINA_Mobile/FINA_BottomNav_Account_Button""), 10)",,,,2022-06-28 13:23:54,2022-06-28 13:23:55,0.493s,PASSED
elementAccount.click(),,,,2022-06-28 13:23:55,2022-06-28 13:23:55,0.117s,PASSED
delay(2),,,,2022-06-28 13:23:55,2022-06-28 13:23:57,2.022s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathasuransicakpro + ""skenario-1.2-berhasil login"" + "".png"", STOP_ON_FAILURE)",,,,2022-06-28 13:23:57,2022-06-28 13:23:59,2.052s,PASSED
"elementHome = findElement(findTestObject(""DMS_FINA_Mobile/FINA_BottomNav_Home_Button""), 10)",,,,2022-06-28 13:23:59,2022-06-28 13:23:59,0.373s,PASSED
elementHome.click(),,,,2022-06-28 13:23:59,2022-06-28 13:24:00,0.736s,PASSED
,,,,,,,
Test Cases/DMS_Renewal dan Upgrade Asuransi Aswata/Matriks 1/1.4. Billing belum dibayar,,,,2022-06-28 13:24:00,2022-06-28 13:25:46,1m - 46.075s,PASSED
"baseDir = System.getProperty(""user.dir"")",,Get directory project,,2022-06-28 13:24:01,2022-06-28 13:24:01,0.002s,PASSED
"startExistingApplication(""com.vq.mbrochuregp.client.android"", STOP_ON_FAILURE)",,,,2022-06-28 13:24:01,2022-06-28 13:24:12,11.219s,PASSED
delay(8),,,,2022-06-28 13:24:12,2022-06-28 13:24:20,8.017s,PASSED
pressBack(),,,,2022-06-28 13:24:20,2022-06-28 13:24:20,0.383s,PASSED
"tap(findTestObject(""DMS_FINA_Mobile/FINA_Login/android.widget.Button - TIDAK""), 0)",,,,2022-06-28 13:24:20,2022-06-28 13:24:23,2.438s,PASSED
