Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
3. Login - cek billing,,,,2022-06-28 13:30:31,2022-06-28 13:32:45,2m - 14.405s,FAILED
,,,,,,,
Test Cases/DMS_Renewal dan Upgrade Asuransi Aswata/Matriks 3/3.1. Login - konsumen,,,,2022-06-28 13:30:31,2022-06-28 13:31:20,48.316s,PASSED
"baseDir = System.getProperty(""user.dir"")",,Get directory project,,2022-06-28 13:30:33,2022-06-28 13:30:33,0.005s,PASSED
"startExistingApplication(""com.vq.mbrochuregp.client.android"", STOP_ON_FAILURE)",,,,2022-06-28 13:30:33,2022-06-28 13:30:51,18.519s,PASSED
delay(8),,,,2022-06-28 13:30:51,2022-06-28 13:30:59,8.090s,PASSED
"element = findElement(findTestObject(""DMS_FINA_Mobile/FINA_BottomNav_Account_Button""), 10)",,,,2022-06-28 13:30:59,2022-06-28 13:31:00,0.832s,PASSED
element.click(),,,,2022-06-28 13:31:00,2022-06-28 13:31:00,0.186s,PASSED
"setText(findTestObject(""DMS_FINA_Mobile/FINA_Login/Login_Text""), findTestData(""DMS_Asr_Cakpro"").getObjectValue(""Login"", 13), 0)",,,,2022-06-28 13:31:00,2022-06-28 13:31:03,2.414s,PASSED
"setText(findTestObject(""DMS_FINA_Mobile/FINA_Login/Login_Password_Text""), findTestData(""DMS_Asr_Cakpro"").getObjectValue(""Pass"", 13), 0)",,,,2022-06-28 13:31:03,2022-06-28 13:31:04,1.408s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathasuransicakpro + ""skenario-3.1-input username dan password"" + "".png"", STOP_ON_FAILURE)",,,,2022-06-28 13:31:04,2022-06-28 13:31:07,3.335s,PASSED
"tap(findTestObject(""DMS_FINA_Mobile/FINA_Login/FINA_Login_Button""), 0)",,set user login,,2022-06-28 13:31:07,2022-06-28 13:31:08,0.816s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2022-06-28 13:31:08,2022-06-28 13:31:13,5.010s,PASSED
"elementAccount = findElement(findTestObject(""DMS_FINA_Mobile/FINA_BottomNav_Account_Button""), 10)",,,,2022-06-28 13:31:13,2022-06-28 13:31:15,1.411s,PASSED
elementAccount.click(),,,,2022-06-28 13:31:15,2022-06-28 13:31:15,0.120s,PASSED
delay(2),,,,2022-06-28 13:31:15,2022-06-28 13:31:17,2.056s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathasuransicakpro + ""skenario-3.2-berhasil login"" + "".png"", STOP_ON_FAILURE)",,,,2022-06-28 13:31:17,2022-06-28 13:31:19,2.106s,PASSED
"elementHome = findElement(findTestObject(""DMS_FINA_Mobile/FINA_BottomNav_Home_Button""), 10)",,,,2022-06-28 13:31:19,2022-06-28 13:31:20,0.693s,PASSED
elementHome.click(),,,,2022-06-28 13:31:20,2022-06-28 13:31:20,0.114s,PASSED
,,,,,,,
Test Cases/DMS_Renewal dan Upgrade Asuransi Aswata/Matriks 3/3.4. Billing belum dibayar,,,,2022-06-28 13:31:20,2022-06-28 13:32:45,1m - 25.516s,FAILED
"baseDir = System.getProperty(""user.dir"")",,Get directory project,,2022-06-28 13:31:21,2022-06-28 13:31:21,0.001s,PASSED
"startExistingApplication(""com.vq.mbrochuregp.client.android"", STOP_ON_FAILURE)",,,,2022-06-28 13:31:21,2022-06-28 13:31:31,10.989s,PASSED
delay(8),,,,2022-06-28 13:31:31,2022-06-28 13:31:40,8.009s,PASSED
pressBack(),,,,2022-06-28 13:31:40,2022-06-28 13:31:40,0.337s,PASSED
"tap(findTestObject(""DMS_FINA_Mobile/FINA_Login/android.widget.Button - TIDAK""), 0)",,,,2022-06-28 13:31:40,2022-06-28 13:31:43,3.050s,PASSED
"tap(findTestObject(""DMS_FINA_Mobile/FINA_BottomNav_Billing_Button""), 0)",,,,2022-06-28 13:31:43,2022-06-28 13:31:44,1.365s,PASSED
delay(20),,,,2022-06-28 13:31:44,2022-06-28 13:32:04,20.009s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathasuransicakpro + ""skenario-3.10-list billing belum dibayar"" + "".png"", STOP_ON_FAILURE)",,,,2022-06-28 13:32:04,2022-06-28 13:32:06,2.059s,PASSED
"tap(findTestObject(""DMS_FINA_Mobile/FINA_Billing/FINA_Billing_Sudah Dibayar""), 0)",,,,2022-06-28 13:32:06,2022-06-28 13:32:07,0.996s,PASSED
delay(2),,,,2022-06-28 13:32:07,2022-06-28 13:32:09,2.005s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathasuransicakpro + ""skenario-3.11-list billing sudah dibayar"" + "".png"", STOP_ON_FAILURE)",,,,2022-06-28 13:32:09,2022-06-28 13:32:11,1.910s,PASSED
"tap(findTestObject(""DMS_FINA_Mobile/FINA_Billing/FINA_Billing_Belum Dibayar""), 0)",,,,2022-06-28 13:32:11,2022-06-28 13:32:13,1.846s,PASSED
"tap(findTestObject(""DMS_FINA_Mobile/FINA_Billing/FINA_Billing_List1_Button""), 0)",,,,2022-06-28 13:32:13,2022-06-28 13:32:45,32.157s,FAILED
