Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
3. Login - cek billing belum dibayar,,,,2022-06-28 13:45:15,2022-06-28 13:47:55,2m - 39.603s,PASSED
,,,,,,,
Test Cases/DMS_Renewal dan Upgrade Asuransi Aswata/Matriks 7/7.1. Login - konsumen,,,,2022-06-28 13:45:16,2022-06-28 13:46:09,53.058s,PASSED
"baseDir = System.getProperty(""user.dir"")",,Get directory project,,2022-06-28 13:45:17,2022-06-28 13:45:17,0.004s,PASSED
"startExistingApplication(""com.vq.mbrochuregp.client.android"", STOP_ON_FAILURE)",,,,2022-06-28 13:45:17,2022-06-28 13:45:36,19.766s,PASSED
delay(8),,,,2022-06-28 13:45:36,2022-06-28 13:45:45,8.127s,PASSED
"element = findElement(findTestObject(""DMS_FINA_Mobile/FINA_BottomNav_Account_Button""), 10)",,,,2022-06-28 13:45:45,2022-06-28 13:45:47,2.008s,PASSED
element.click(),,,,2022-06-28 13:45:47,2022-06-28 13:45:47,0.175s,PASSED
"setText(findTestObject(""DMS_FINA_Mobile/FINA_Login/Login_Text""), findTestData(""DMS_Asr_Cakpro"").getObjectValue(""Login"", 29), 0)",,,,2022-06-28 13:45:47,2022-06-28 13:45:50,3.130s,PASSED
"setText(findTestObject(""DMS_FINA_Mobile/FINA_Login/Login_Password_Text""), findTestData(""DMS_Asr_Cakpro"").getObjectValue(""Pass"", 29), 0)",,,,2022-06-28 13:45:50,2022-06-28 13:45:52,1.906s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathasuransicakpro + ""skenario-7.1-input username dan password"" + "".png"", STOP_ON_FAILURE)",,,,2022-06-28 13:45:52,2022-06-28 13:45:57,4.692s,PASSED
"tap(findTestObject(""DMS_FINA_Mobile/FINA_Login/FINA_Login_Button""), 0)",,set user login,,2022-06-28 13:45:57,2022-06-28 13:45:57,0.962s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2022-06-28 13:45:57,2022-06-28 13:45:59,2.012s,PASSED
"elementAccount = findElement(findTestObject(""DMS_FINA_Mobile/FINA_BottomNav_Account_Button""), 10)",,,,2022-06-28 13:45:59,2022-06-28 13:46:04,4.410s,PASSED
elementAccount.click(),,,,2022-06-28 13:46:04,2022-06-28 13:46:04,0.107s,PASSED
delay(2),,,,2022-06-28 13:46:04,2022-06-28 13:46:06,2.054s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathasuransicakpro + ""skenario-7.2-berhasil login"" + "".png"", STOP_ON_FAILURE)",,,,2022-06-28 13:46:06,2022-06-28 13:46:08,1.969s,PASSED
"elementHome = findElement(findTestObject(""DMS_FINA_Mobile/FINA_BottomNav_Home_Button""), 10)",,,,2022-06-28 13:46:08,2022-06-28 13:46:09,0.692s,PASSED
elementHome.click(),,,,2022-06-28 13:46:09,2022-06-28 13:46:09,0.106s,PASSED
,,,,,,,
Test Cases/DMS_Renewal dan Upgrade Asuransi Aswata/Matriks 7/7.4. Billing belum dibayar,,,,2022-06-28 13:46:09,2022-06-28 13:47:55,1m - 45.983s,PASSED
"baseDir = System.getProperty(""user.dir"")",,Get directory project,,2022-06-28 13:46:10,2022-06-28 13:46:10,0.001s,PASSED
"startExistingApplication(""com.vq.mbrochuregp.client.android"", STOP_ON_FAILURE)",,,,2022-06-28 13:46:10,2022-06-28 13:46:21,11.089s,PASSED
delay(8),,,,2022-06-28 13:46:21,2022-06-28 13:46:29,8.007s,PASSED
