Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Tracking (1 - 7 ),,,,2022-06-28 15:37:31,2022-06-28 15:51:05,13m - 33.092s,PASSED
,,,,,,,
Test Cases/DMS_Renewal dan Upgrade Asuransi Aswata/Matriks 1/1.1. Login - konsumen,,,,2022-06-28 15:37:32,2022-06-28 15:38:27,55.028s,PASSED
"baseDir = System.getProperty(""user.dir"")",,Get directory project,,2022-06-28 15:37:33,2022-06-28 15:37:33,0.004s,PASSED
"startExistingApplication(""com.vq.mbrochuregp.client.android"", STOP_ON_FAILURE)",,,,2022-06-28 15:37:33,2022-06-28 15:37:52,19.111s,PASSED
delay(8),,,,2022-06-28 15:37:52,2022-06-28 15:38:00,8.082s,PASSED
"setText(findTestObject(""DMS_FINA_Mobile/test/android.widget.EditText - Email""), findTestData(""DMS_Asr_Cakpro"").getObjectValue(""Login"", 1), 0)",,,,2022-06-28 15:38:00,2022-06-28 15:38:04,3.787s,PASSED
"setText(findTestObject(""DMS_FINA_Mobile/test/android.widget.EditText - Password""), findTestData(""DMS_Asr_Cakpro"").getObjectValue(""Pass"", 1), 0)",,,,2022-06-28 15:38:04,2022-06-28 15:38:06,1.495s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathasuransicakpro + ""skenario-1.1-input username dan password"" + "".png"", STOP_ON_FAILURE)",,,,2022-06-28 15:38:06,2022-06-28 15:38:09,2.939s,PASSED
"tap(findTestObject(""DMS_FINA_Mobile/FINA_Login/FINA_Login_Button""), 0)",,set user login,,2022-06-28 15:38:09,2022-06-28 15:38:09,0.809s,PASSED
delay(9),,,,2022-06-28 15:38:09,2022-06-28 15:38:18,9.011s,PASSED
"elementAccount = findElement(findTestObject(""DMS_FINA_Mobile/FINA_BottomNav_Account_Button""), 10)",,,,2022-06-28 15:38:18,2022-06-28 15:38:22,3.925s,PASSED
elementAccount.click(),,,,2022-06-28 15:38:22,2022-06-28 15:38:22,0.122s,PASSED
delay(2),,,,2022-06-28 15:38:22,2022-06-28 15:38:24,2.007s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathasuransicakpro + ""skenario-1.2-berhasil login"" + "".png"", STOP_ON_FAILURE)",,,,2022-06-28 15:38:24,2022-06-28 15:38:26,1.854s,PASSED
"elementHome = findElement(findTestObject(""DMS_FINA_Mobile/FINA_BottomNav_Home_Button""), 10)",,,,2022-06-28 15:38:26,2022-06-28 15:38:27,0.673s,PASSED
elementHome.click(),,,,2022-06-28 15:38:27,2022-06-28 15:38:27,0.080s,PASSED
,,,,,,,
Test Cases/DMS_Renewal dan Upgrade Asuransi Aswata/Matriks 1/1.3. Tracking Pengajuan,,,,2022-06-28 15:38:27,2022-06-28 15:39:40,1m - 13.349s,PASSED
"baseDir = System.getProperty(""user.dir"")",,Get directory project,,2022-06-28 15:38:28,2022-06-28 15:38:28,0.003s,PASSED
"startExistingApplication(""com.vq.mbrochuregp.client.android"", STOP_ON_FAILURE)",,,,2022-06-28 15:38:28,2022-06-28 15:38:38,10.483s,PASSED
delay(8),,,,2022-06-28 15:38:38,2022-06-28 15:38:46,8.008s,PASSED
pressBack(),,,,2022-06-28 15:38:46,2022-06-28 15:38:47,0.339s,PASSED
"tap(findTestObject(""DMS_FINA_Mobile/FINA_Login/android.widget.Button - TIDAK""), 0)",,,,2022-06-28 15:38:47,2022-06-28 15:38:49,1.802s,PASSED
"tap(findTestObject(""DMS_FINA_Mobile/FINA_Mobile_Main Menu/FINA_Menu_More_Button""), 0)",,,,2022-06-28 15:38:49,2022-06-28 15:38:49,0.884s,PASSED
"tap(findTestObject(""APN_Fina New Versi/More/Tracking/Fina_Menu_More_Tracking""), 0)",,,,2022-06-28 15:38:49,2022-06-28 15:38:51,1.772s,PASSED
delay(15),,,,2022-06-28 15:38:51,2022-06-28 15:39:06,15.016s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathasuransicakpro + ""skenario-1.8-list pengajuan"" + "".png"", STOP_ON_FAILURE)",,,,2022-06-28 15:39:06,2022-06-28 15:39:08,1.887s,PASSED
"tap(findTestObject(""APN_Fina New Versi/More/Tracking/Fina_Menu_More_Tracking_ListData1""), 0)",,,,2022-06-28 15:39:08,2022-06-28 15:39:09,0.994s,PASSED
delay(15),,,,2022-06-28 15:39:09,2022-06-28 15:39:24,15.012s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathasuransicakpro + ""skenario-1.9-detail pengajuan"" + "".png"", STOP_ON_FAILURE)",,,,2022-06-28 15:39:24,2022-06-28 15:39:26,1.852s,PASSED
pressBack(),,,,2022-06-28 15:39:26,2022-06-28 15:39:27,0.864s,PASSED
pressBack(),,,,2022-06-28 15:39:27,2022-06-28 15:39:28,1.275s,PASSED
pressBack(),,,,2022-06-28 15:39:28,2022-06-28 15:39:29,0.992s,PASSED
"Account = findElement(findTestObject(""Object Repository/DMS_FINA_Mobile/FINA_BottomNav_Account_Button""), 10)",,,,2022-06-28 15:39:29,2022-06-28 15:39:30,1.153s,PASSED
Account.click(),,,,2022-06-28 15:39:30,2022-06-28 15:39:30,0.114s,PASSED
delay(10),,,,2022-06-28 15:39:30,2022-06-28 15:39:40,10.009s,PASSED
,,,,,,,
Test Cases/DMS_Renewal dan Upgrade Asuransi Aswata/Matriks 2/2.1. Login - konsumen,,,,2022-06-28 15:39:40,2022-06-28 15:40:23,42.661s,PASSED
"baseDir = System.getProperty(""user.dir"")",,Get directory project,,2022-06-28 15:39:41,2022-06-28 15:39:41,0.002s,PASSED
"startExistingApplication(""com.vq.mbrochuregp.client.android"", STOP_ON_FAILURE)",,,,2022-06-28 15:39:41,2022-06-28 15:39:52,11.314s,PASSED
delay(8),,,,2022-06-28 15:39:52,2022-06-28 15:40:00,8.006s,PASSED
delay(2),,,,2022-06-28 15:40:00,2022-06-28 15:40:02,2.028s,PASSED
"element = findElement(findTestObject(""DMS_FINA_Mobile/FINA_BottomNav_Account_Button""), 10)",,,,2022-06-28 15:40:02,2022-06-28 15:40:05,2.396s,PASSED
element.click(),,,,2022-06-28 15:40:05,2022-06-28 15:40:05,0.106s,PASSED
"setText(findTestObject(""DMS_FINA_Mobile/FINA_Login/Login_Text""), findTestData(""DMS_Asr_Cakpro"").getObjectValue(""Login"", 7), 0)",,,,2022-06-28 15:40:05,2022-06-28 15:40:07,1.828s,PASSED
"setText(findTestObject(""DMS_FINA_Mobile/FINA_Login/Login_Password_Text""), findTestData(""DMS_Asr_Cakpro"").getObjectValue(""Pass"", 7), 0)",,,,2022-06-28 15:40:07,2022-06-28 15:40:08,1.363s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathasuransicakpro + ""skenario-2.1-input username dan password"" + "".png"", STOP_ON_FAILURE)",,,,2022-06-28 15:40:08,2022-06-28 15:40:10,2.033s,PASSED
"tap(findTestObject(""DMS_FINA_Mobile/FINA_Login/FINA_Login_Button""), 0)",,set user login,,2022-06-28 15:40:10,2022-06-28 15:40:12,1.572s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2022-06-28 15:40:12,2022-06-28 15:40:17,5.010s,PASSED
"elementAccount = findElement(findTestObject(""DMS_FINA_Mobile/FINA_BottomNav_Account_Button""), 10)",,,,2022-06-28 15:40:17,2022-06-28 15:40:20,2.802s,PASSED
elementAccount.click(),,,,2022-06-28 15:40:20,2022-06-28 15:40:20,0.092s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathasuransicakpro + ""skenario-2.2-berhasil login"" + "".png"", STOP_ON_FAILURE)",,,,2022-06-28 15:40:20,2022-06-28 15:40:22,2.651s,PASSED
"elementHome = findElement(findTestObject(""DMS_FINA_Mobile/FINA_BottomNav_Home_Button""), 10)",,,,2022-06-28 15:40:22,2022-06-28 15:40:23,0.706s,PASSED
elementHome.click(),,,,2022-06-28 15:40:23,2022-06-28 15:40:23,0.095s,PASSED
,,,,,,,
Test Cases/DMS_Renewal dan Upgrade Asuransi Aswata/Matriks 2/2.3. Tracking Pengajuan,,,,2022-06-28 15:40:23,2022-06-28 15:41:38,1m - 15.141s,PASSED
"baseDir = System.getProperty(""user.dir"")",,Get directory project,,2022-06-28 15:40:24,2022-06-28 15:40:24,0.000s,PASSED
"startExistingApplication(""com.vq.mbrochuregp.client.android"", STOP_ON_FAILURE)",,,,2022-06-28 15:40:24,2022-06-28 15:40:34,10.412s,PASSED
delay(8),,,,2022-06-28 15:40:34,2022-06-28 15:40:42,8.006s,PASSED
pressBack(),,,,2022-06-28 15:40:42,2022-06-28 15:40:43,0.405s,PASSED
"tap(findTestObject(""DMS_FINA_Mobile/FINA_Login/android.widget.Button - TIDAK""), 0)",,,,2022-06-28 15:40:43,2022-06-28 15:40:45,2.360s,PASSED
"tap(findTestObject(""DMS_FINA_Mobile/FINA_Mobile_Main Menu/FINA_Menu_More_Button""), 0)",,,,2022-06-28 15:40:45,2022-06-28 15:40:47,1.395s,PASSED
"tap(findTestObject(""APN_Fina New Versi/More/Tracking/Fina_Menu_More_Tracking""), 0)",,,,2022-06-28 15:40:47,2022-06-28 15:40:49,2.248s,PASSED
delay(15),,,,2022-06-28 15:40:49,2022-06-28 15:41:04,15.014s,PASSED
